month,day,sahriEndHour,sahriEndMinute,sunriseHour,sunriseMinute,noonHour,noonMinute,asrStartHour,asrStartMinute,magribStartHour,magribStartMinute,ishaStartHour,ishaStartMinute
1,1,5,19,6,41,12,3,15,46,17,27,18,45
1,2,5,20,6,41,12,3,15,47,17,27,18,46
1,3,5,20,6,42,12,4,15,48,17,28,18,46
1,4,5,20,6,42,12,4,15,48,17,28,18,47
1,5,5,21,6,42,12,5,15,49,17,29,18,48
1,6,5,21,6,42,12,5,15,50,17,30,18,48
1,7,5,21,6,42,12,6,15,50,17,31,18,49
1,8,5,21,6,43,12,6,15,51,17,31,18,50
1,9,5,22,6,43,12,6,15,52,17,32,18,50
1,10,5,22,6,43,12,7,15,53,17,33,18,51
1,11,5,22,6,43,12,7,15,53,17,33,18,51
1,12,5,23,6,43,12,7,15,54,17,34,18,51
1,13,5,23,6,43,12,8,15,55,17,35,18,52
1,14,5,23,6,43,12,8,15,55,17,35,18,53
1,15,5,23,6,43,12,9,15,56,17,36,18,54
1,16,5,23,6,43,12,9,15,57,17,37,18,55
1,17,5,23,6,43,12,9,15,58,17,38,18,55
1,18,5,23,6,43,12,10,15,58,17,38,18,56
1,19,5,23,6,43,12,10,15,59,17,39,18,56
1,20,5,23,6,43,12,10,16,0,17,40,18,57
1,21,5,23,6,42,12,10,16,0,17,40,18,57
1,22,5,23,6,42,12,11,16,1,17,41,18,58
1,23,5,23,6,42,12,11,16,2,17,42,18,58
1,24,5,22,6,41,12,11,16,3,17,43,18,59
1,25,5,22,6,41,12,11,16,3,17,43,19,0
1,26,5,22,6,41,12,12,16,4,17,44,19,0
1,27,5,22,6,41,12,12,16,5,17,45,19,1
1,28,5,22,6,41,12,12,16,5,17,46,19,2
1,29,5,22,6,41,12,13,16,6,17,47,19,2
1,30,5,21,6,40,12,13,16,7,17,47,19,3
1,31,5,21,6,40,12,13,16,7,17,48,19,4
2,1,5,21,6,39,12,13,16,8,17,48,19,4
2,2,5,20,6,39,12,13,16,9,17,49,19,5
2,3,5,20,6,38,12,13,16,9,17,50,19,5
2,4,5,19,6,38,12,13,16,10,17,50,19,6
2,5,5,19,6,37,12,13,16,11,17,51,19,6
2,6,5,19,6,37,12,13,16,11,17,52,19,7
2,7,5,18,6,36,12,13,16,12,17,52,19,7
2,8,5,18,6,36,12,13,16,12,17,53,19,8
2,9,5,17,6,35,12,13,16,13,17,53,19,8
2,10,5,17,6,34,12,13,16,14,17,54,19,9
2,11,5,16,6,34,12,13,16,14,17,54,19,9
2,12,5,16,6,33,12,13,16,15,17,55,19,10
2,13,5,15,6,33,12,13,16,15,17,55,19,10
2,14,5,15,6,32,12,13,16,16,17,56,19,11
2,15,5,14,6,31,12,13,16,16,17,56,19,11
2,16,5,14,6,30,12,13,16,17,17,57,19,11
2,17,5,13,6,30,12,13,16,17,17,58,19,12
2,18,5,12,6,29,12,13,16,18,17,59,19,13
2,19,5,12,6,28,12,13,16,18,17,59,19,13
2,20,5,11,6,28,12,13,16,19,18,0,19,14
2,21,5,10,6,27,12,13,16,19,18,1,19,14
2,22,5,9,6,26,12,13,16,20,18,1,19,15
2,23,5,9,6,25,12,13,16,20,18,2,19,16
2,24,5,8,6,25,12,12,16,20,18,2,19,16
2,25,5,7,6,24,12,12,16,21,18,3,19,17
2,26,5,6,6,23,12,12,16,21,18,3,19,17
2,27,5,5,6,22,12,12,16,22,18,4,19,17
2,28,5,5,6,21,12,12,16,22,18,4,19,18
2,29,5,4,6,21,12,12,16,22,18,4,19,18
3,1,5,4,6,20,12,11,16,22,18,5,19,18
3,2,5,3,6,19,12,11,16,23,18,5,19,18
3,3,5,3,6,19,12,11,16,23,18,6,19,19
3,4,5,2,6,18,12,11,16,23,18,6,19,19
3,5,5,1,6,17,12,11,16,24,18,6,19,19
3,6,5,0,6,16,12,10,16,24,18,7,19,20
3,7,4,59,6,15,12,10,16,24,18,7,19,20
3,8,4,58,6,14,12,10,16,25,18,8,19,21
